"name","url","price"
"Apple iPhone SE without FaceTime - 16 GB, 2 GB, 4G LTE, WiFi, Rose Gold","http://uae.souq.com/ae-en/apple-iphone-se-without-facetime-16-gb-2-gb-4g-lte-wifi-rose-gold-10356351/i/","1,729.98"
"Apple iPhone SE with FaceTime - 64 GB, 4G LTE, WiFi, Gold","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-64-gb-4g-lte-wifi-gold-10432920/i/","2,206.49"
"Apple iPhone SE without FaceTime - 64 GB, 2 GB, 4G LTE, WiFi, Space Gray","http://uae.souq.com/ae-en/apple-iphone-se-without-facetime-64-gb-2-gb-4g-lte-wifi-space-gray-10356342/i/","2,399.00"
"Apple iPhone SE with FaceTime - 16 GB, 4G LTE, WiFi, Space Gray","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-16-gb-4g-lte-wifi-space-gray-10432896/i/","1,759.00"
"Apple iPhone SE with FaceTime - 64 GB, 2 GB, 4G LTE, WiFi, Silver","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-64-gb-2-gb-4g-lte-wifi-silver-10432910/i/","2,348.98"
"Apple iPhone SE with FaceTime - 64 GB, 4G LTE, WiFi, Space Gray","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-64-gb-4g-lte-wifi-space-gray-10432899/i/","2,207.00"
"Apple iPhone SE with FaceTime - 64 GB, 4G LTE, WiFi, Rose Gold","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-64-gb-4g-lte-wifi-rose-gold-10432913/i/","2,221.99"
"Apple iPhone SE without FaceTime - 64 GB, 4G LTE, WiFi, Gold","http://uae.souq.com/ae-en/apple-iphone-se-without-facetime-64-gb-4g-lte-wifi-gold-10356350/i/","2,299.98"
"Apple iPhone 6 With FaceTime - 128GB, 4G LTE, Gold","http://uae.souq.com/ae-en/apple-iphone-6-with-facetime-128gb-4g-lte-gold-7277711/i/","2,419.90"
"Apple iPhone 6 With FaceTime - 64GB, 4G LTE, Space Gray","http://uae.souq.com/ae-en/apple-iphone-6-with-facetime-64gb-4g-lte-space-gray-7277797/i/","2,299.00"
"Apple iPhone 6 Plus With Facetime - 128GB, 4G LTE, Silver","http://uae.souq.com/ae-en/apple-iphone-6-plus-with-facetime-128gb-4g-lte-silver-7278394/i/","2,597.98"
"Apple iPhone SE with FaceTime - 16 GB, 4G LTE, WiFi, Gold","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-16-gb-4g-lte-wifi-gold-10432918/i/","1,649.00"
"Apple iPhone 6s Plus without FaceTime - 128GB, 4G LTE, Gold","http://uae.souq.com/ae-en/apple-iphone-6s-plus-without-facetime-128gb-4g-lte-gold-9061372/i/","3,749.00"
"Apple iPhone 6s with FaceTime - 64GB, 4G LTE, Silver","http://uae.souq.com/ae-en/apple-iphone-6s-with-facetime-64gb-4g-lte-silver-8992686/i/","2,479.00"
"Apple iPhone 6 With FaceTime - 16GB, 4G LTE, Silver","http://uae.souq.com/ae-en/apple-iphone-6-with-facetime-16gb-4g-lte-silver-7274966/i/","1,899.00"
"Apple iPhone 6s Plus with FaceTime - 128GB, 4G LTE, Gold","http://uae.souq.com/ae-en/apple-iphone-6s-plus-with-facetime-128gb-4g-lte-gold-9000746/i/","3,199.00"
